ItemName,Category,Year,ItemUnit,ItemValue
空氣污染實收罰鍰/營建工程,澎湖縣,102,千元,－
空氣污染實收罰鍰/營建工程,花蓮縣,102,千元,605 
空氣污染實收罰鍰/營建工程,臺東縣,102,千元,962 
空氣污染實收罰鍰/營建工程,屏東縣,102,千元,1120 
空氣污染實收罰鍰/營建工程,嘉義縣,102,千元,860 
空氣污染實收罰鍰/營建工程,雲林縣,102,千元,6993 
空氣污染實收罰鍰/營建工程,南投縣,102,千元,566 
空氣污染實收罰鍰/營建工程,彰化縣,102,千元,460 
空氣污染實收罰鍰/營建工程,苗栗縣,102,千元,240 
空氣污染實收罰鍰/營建工程,新竹縣,102,千元,1300 
空氣污染實收罰鍰/營建工程,宜蘭縣,102,千元,908 
空氣污染實收罰鍰/營建工程,高雄市,102,千元,2600 
空氣污染實收罰鍰/營建工程,臺南市,102,千元,2966 
空氣污染實收罰鍰/營建工程,臺中市,102,千元,1961 
空氣污染實收罰鍰/營建工程,桃園市,102,千元,7741 
空氣污染實收罰鍰/營建工程,臺北市,102,千元,2111 
空氣污染實收罰鍰/營建工程,新北市,102,千元,9177 
空氣污染實收罰鍰/營建工程,總計,102,千元,44691 
空氣污染實收罰鍰/總計,連江縣,102,千元,15 
空氣污染實收罰鍰/總計,金門縣,102,千元,258 
空氣污染實收罰鍰/總計,嘉義市,102,千元,1855 
空氣污染實收罰鍰/總計,新竹市,102,千元,3597 
空氣污染實收罰鍰/總計,基隆市,102,千元,4226 
空氣污染實收罰鍰/總計,澎湖縣,102,千元,－
空氣污染實收罰鍰/總計,花蓮縣,102,千元,183562 
空氣污染實收罰鍰/總計,臺東縣,102,千元,3307 
空氣污染實收罰鍰/總計,屏東縣,102,千元,6824 
空氣污染實收罰鍰/總計,嘉義縣,102,千元,5766 
空氣污染實收罰鍰/總計,雲林縣,102,千元,16877 
空氣污染實收罰鍰/總計,南投縣,102,千元,2275 
空氣污染實收罰鍰/總計,彰化縣,102,千元,10625 
空氣污染實收罰鍰/總計,苗栗縣,102,千元,5338 
空氣污染實收罰鍰/總計,新竹縣,102,千元,7456 
空氣污染實收罰鍰/總計,宜蘭縣,102,千元,5902 
空氣污染實收罰鍰/總計,高雄市,102,千元,56312 
空氣污染實收罰鍰/總計,臺南市,102,千元,14096 
空氣污染實收罰鍰/總計,臺中市,102,千元,33569 
空氣污染實收罰鍰/總計,桃園市,102,千元,48224 
空氣污染實收罰鍰/總計,臺北市,102,千元,24725 
空氣污染實收罰鍰/總計,新北市,102,千元,37051 
空氣污染實收罰鍰/總計,總計,102,千元,471858 
空氣污染實收罰鍰/移動污染源,連江縣,101,千元,－
空氣污染實收罰鍰/移動污染源,金門縣,101,千元,20 
空氣污染實收罰鍰/移動污染源,嘉義市,101,千元,1246 
空氣污染實收罰鍰/移動污染源,新竹市,101,千元,443 
空氣污染實收罰鍰/移動污染源,基隆市,101,千元,1343 
空氣污染實收罰鍰/移動污染源,澎湖縣,101,千元,2 
空氣污染實收罰鍰/移動污染源,花蓮縣,101,千元,2045 
空氣污染實收罰鍰/移動污染源,臺東縣,101,千元,791 
空氣污染實收罰鍰/移動污染源,屏東縣,101,千元,1792 
空氣污染實收罰鍰/移動污染源,嘉義縣,101,千元,2642 
空氣污染實收罰鍰/移動污染源,雲林縣,101,千元,1479 
空氣污染實收罰鍰/移動污染源,南投縣,101,千元,928 
空氣污染實收罰鍰/移動污染源,彰化縣,101,千元,3562 
空氣污染實收罰鍰/移動污染源,苗栗縣,101,千元,2916 
空氣污染實收罰鍰/移動污染源,新竹縣,101,千元,1485 
空氣污染實收罰鍰/移動污染源,宜蘭縣,101,千元,1689 
空氣污染實收罰鍰/移動污染源,高雄市,101,千元,14346 
空氣污染實收罰鍰/移動污染源,臺南市,101,千元,5098 
空氣污染實收罰鍰/移動污染源,臺中市,101,千元,6277 
空氣污染實收罰鍰/移動污染源,桃園市,101,千元,21776 
空氣污染實收罰鍰/移動污染源,臺北市,101,千元,10491 
空氣污染實收罰鍰/移動污染源,新北市,101,千元,8404 
空氣污染實收罰鍰/移動污染源,總計,101,千元,88774 
空氣污染實收罰鍰/其他固定污染源,連江縣,101,千元,20 
空氣污染實收罰鍰/其他固定污染源,金門縣,101,千元,200 
空氣污染實收罰鍰/其他固定污染源,嘉義市,101,千元,60 
空氣污染實收罰鍰/其他固定污染源,新竹市,101,千元,975 
空氣污染實收罰鍰/其他固定污染源,基隆市,101,千元,920 
空氣污染實收罰鍰/其他固定污染源,澎湖縣,101,千元,5 
空氣污染實收罰鍰/其他固定污染源,花蓮縣,101,千元,92627 
空氣污染實收罰鍰/其他固定污染源,臺東縣,101,千元,139 
空氣污染實收罰鍰/其他固定污染源,屏東縣,101,千元,2705 
空氣污染實收罰鍰/其他固定污染源,嘉義縣,101,千元,2085 
空氣污染實收罰鍰/其他固定污染源,雲林縣,101,千元,14886 
空氣污染實收罰鍰/其他固定污染源,南投縣,101,千元,2110 
空氣污染實收罰鍰/其他固定污染源,彰化縣,101,千元,7366 
空氣污染實收罰鍰/其他固定污染源,苗栗縣,101,千元,3222 
空氣污染實收罰鍰/其他固定污染源,新竹縣,101,千元,4363 
空氣污染實收罰鍰/其他固定污染源,宜蘭縣,101,千元,3560 
空氣污染實收罰鍰/其他固定污染源,高雄市,101,千元,26904 
空氣污染實收罰鍰/其他固定污染源,臺南市,101,千元,5013 
空氣污染實收罰鍰/其他固定污染源,臺中市,101,千元,9399 
空氣污染實收罰鍰/其他固定污染源,桃園市,101,千元,16001 
空氣污染實收罰鍰/其他固定污染源,臺北市,101,千元,7629 
空氣污染實收罰鍰/其他固定污染源,新北市,101,千元,23366 
空氣污染實收罰鍰/其他固定污染源,總計,101,千元,223554 
空氣污染實收罰鍰/營建工程,連江縣,101,千元,－
空氣污染實收罰鍰/營建工程,金門縣,101,千元,100 
空氣污染實收罰鍰/營建工程,嘉義市,101,千元,170 
空氣污染實收罰鍰/營建工程,新竹市,101,千元,2180 
空氣污染實收罰鍰/營建工程,基隆市,101,千元,880 
空氣污染實收罰鍰/營建工程,澎湖縣,101,千元,－
空氣污染實收罰鍰/營建工程,花蓮縣,101,千元,1142 
空氣污染實收罰鍰/營建工程,臺東縣,101,千元,285 
空氣污染實收罰鍰/營建工程,屏東縣,101,千元,1589 
空氣污染實收罰鍰/營建工程,嘉義縣,101,千元,740 
空氣污染實收罰鍰/營建工程,雲林縣,101,千元,4792 
空氣污染實收罰鍰/營建工程,南投縣,101,千元,183 
空氣污染實收罰鍰/營建工程,彰化縣,101,千元,2143 
空氣污染實收罰鍰/營建工程,苗栗縣,101,千元,380 
空氣污染實收罰鍰/營建工程,新竹縣,101,千元,1420 
空氣污染實收罰鍰/營建工程,宜蘭縣,101,千元,1006 
空氣污染實收罰鍰/營建工程,高雄市,101,千元,3403 
空氣污染實收罰鍰/營建工程,臺南市,101,千元,3064 
空氣污染實收罰鍰/營建工程,臺中市,101,千元,4747 
